id,title,genres,averageRating,numVotes,releaseYear
tt7137906,"When They See Us","Biography, Crime, Drama",8.8,141857,2019
tt14650074,Dhindora,"Comedy, Drama",8.8,123030,2021
tt0072500,"Fawlty Towers",Comedy,8.8,101656,1975
tt3530232,"Last Week Tonight with John Oliver","Comedy, News, Talk-Show",8.8,97201,2014
tt0112130,"Pride and Prejudice","Drama, Romance",8.8,94127,1995
tt0121220,"Dragon Ball Z","Action, Adventure, Animation",8.8,90363,1989
tt10233448,"Vinland Saga","Action, Adventure, Animation",8.8,83015,2019
tt0063929,"Monty Python's Flying Circus",Comedy,8.8,79735,1969
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,77054,2011
tt3718778,"Over the Garden Wall","Adventure, Animation, Comedy",8.8,74628,2014
tt0353049,"Chappelle's Show","Comedy, Music",8.8,73158,2003
tt0096548,"Blackadder Goes Forth","Comedy, War",8.8,57742,1989
tt15435876,"The Penguin","Crime, Drama",8.8,39685,2024
tt16026746,"X-Men '97","Action, Adventure, Animation",8.8,36752,2024
tt0081834,"Das Boot","Drama, War",8.8,33912,1985
tt1795096,"Behzat Ç: An Ankara Detective Story","Crime, Drama, Mystery",8.8,33470,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33031,2018
tt0074006,"I, Claudius","Biography, Drama, History",8.8,19801,1976
tt15295490,"Campus Diaries","Comedy, Drama, Romance",8.8,17341,2022
tt22727518,"Another Love","Crime, Drama, Romance",8.8,15229,2023
tt9566030,"Pew News","Comedy, News",8.8,14793,2018
tt6108262,"Black Sun","Crime, Drama, Thriller",8.8,12609,2017
tt13661118,"Not Me","Action, Crime, Romance",8.8,12175,2021
tt0481256,"Fighting Spirit","Action, Animation, Comedy",8.8,11199,2000
tt4574334,"Stranger Things","Drama, Fantasy, Horror",8.7,1384882,2016
tt1190634,"The Boys","Action, Comedy, Crime",8.7,729799,2019
tt2085059,"Black Mirror","Crime, Drama, Mystery",8.7,658041,2011
tt3581920,"The Last of Us","Action, Adventure, Drama",8.7,572347,2023
tt0412142,House,"Drama, Mystery",8.7,533851,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,482432,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,463842,2017
tt0096697,"The Simpsons","Animation, Comedy",8.7,443509,1989
tt0121955,"South Park","Animation, Comedy",8.7,413100,1997
tt0367279,"Arrested Development",Comedy,8.7,328918,2003
tt0804503,"Mad Men",Drama,8.7,266615,2007
tt4236770,Yellowstone,"Drama, Western",8.7,236352,2018
tt1606375,"Downton Abbey","Drama, Romance",8.7,229266,2010
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,224209,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,219778,2021
tt5687612,Fleabag,"Comedy, Drama",8.7,213255,2016
tt4508902,"One Punch Man","Action, Animation, Comedy",8.7,192553,2015
tt0384766,Rome,"Action, Drama, Romance",8.7,189612,2005
tt0988824,"Naruto: Shippuden","Action, Adventure, Animation",8.7,181135,2007
tt0407362,"Battlestar Galactica","Action, Adventure, Drama",8.7,178551,2004
tt5555260,"This Is Us","Comedy, Drama, Romance",8.7,162900,2016
tt0248654,"Six Feet Under","Comedy, Drama",8.7,153426,2001
tt5788792,"The Marvelous Mrs. Maisel","Comedy, Drama",8.7,146352,2017
tt0092455,"Star Trek: The Next Generation","Action, Adventure, Drama",8.7,139627,1987
tt1628033,"Top Gear","Adventure, Sport, Talk-Show",8.7,129357,2002
tt13991232,1883,"Drama, Western",8.7,123063,2021
tt0118421,Oz,"Crime, Drama, Thriller",8.7,108954,1997
tt9544034,"The Family Man","Action, Comedy, Drama",8.7,101216,2019
tt0286486,"The Shield","Crime, Drama, Thriller",8.7,90139,2002
tt5712554,"The Grand Tour","Comedy, Sport, Talk-Show",8.7,87508,2016
tt0994314,"Code Geass","Action, Animation, Drama",8.7,84477,2006
tt13309742,"Blue Eye Samurai","Action, Adventure, Animation",8.7,78805,2023
tt0758745,"Friday Night Lights","Drama, Sport",8.7,73855,2006
tt2303687,"Line of Duty","Crime, Drama, Mystery",8.7,72561,2012
tt0387764,"Peep Show",Comedy,8.7,68038,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,58466,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,49748,2004
tt10850932,"Crash Landing on You","Adventure, Comedy, Drama",8.7,45361,2019
tt0111958,"Father Ted",Comedy,8.7,44647,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,39202,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,38520,2009
tt7472896,"Mr Inbetween","Crime, Drama",8.7,34447,2018
tt0459159,"The Thick of It",Comedy,8.7,26758,2005
tt0096639,"Lonesome Dove","Adventure, Drama, Western",8.7,26677,1989
tt0086661,"The Adventures of Sherlock Holmes","Crime, Drama, Mystery",8.7,24705,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,22379,2019
tt28857177,"Lucky Guy","Comedy, Drama, Fantasy",8.7,21480,2023
tt6025022,"Justice League Unlimited","Action, Adventure, Animation",8.7,21320,2004
tt20859920,"Alchemy of Souls","Action, Drama, Fantasy",8.7,19689,2022
tt0080306,"Yes Minister",Comedy,8.7,16922,1980
tt0988818,Gintama,"Action, Animation, Comedy",8.7,16346,2005
tt4063800,"The Bureau","Drama, Thriller",8.7,14976,2015
tt0106028,"Homicide: Life on the Street","Crime, Drama, Mystery",8.7,14960,1993
tt10801534,"How to with John Wilson","Comedy, Documentary",8.7,14086,2020
tt0090509,"The Return of Sherlock Holmes","Crime, Drama, Mystery",8.7,13672,1986
tt11007006,Azize,Drama,8.7,13573,2019
tt0229889,"El Chavo del Ocho","Comedy, Family",8.7,13478,1972
tt7621364,"Black Pearl",Drama,8.7,12802,2017
tt6111552,"Content Cop","Comedy, Crime, Talk-Show",8.7,12618,2015
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,11666,2014
tt7094780,"Mr. Sunshine","Action, Drama, Romance",8.7,10988,2018
tt10554898,"The Untamed","Action, Adventure, Drama",8.7,10554,2019
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,798159,2006
tt8111088,"The Mandalorian","Action, Adventure, Fantasy",8.6,604013,2019
tt1856010,"House of Cards",Drama,8.6,537538,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,484269,2015
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,350757,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.6,330893,2008
tt1266020,"Parks and Recreation",Comedy,8.6,294779,2009
tt4786824,"The Crown","Biography, Drama, History",8.6,263175,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,255679,1993
tt14452776,"The Bear","Comedy, Drama",8.6,249849,2022
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,206487,2010
tt2788316,Shogun,"Adventure, Drama, History",8.6,181890,2024
tt1486217,Archer,"Action, Animation, Comedy",8.6,168499,2009
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,167579,2019
tt0096657,"Mr. Bean","Comedy, Family",8.6,137317,1990
tt1870479,"The Newsroom",Drama,8.6,126968,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,121611,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,120181,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,116973,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,108304,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,90861,2016
tt9174558,Dopesick,Drama,8.6,82030,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,78368,2011
tt5421602,"Anne with an E","Drama, Family",8.6,69574,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54325,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53537,1989
tt0088484,"Blackadder II",Comedy,8.6,50664,1986
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.6,49413,2016
tt0237123,Coupling,"Comedy, Romance",8.6,48217,2000
